issue,title,validator comment,status,size,Best
validation-658,Gas Optimizations,no gas pot in this contest,Unsatisfactory,177,
validation-54,QA Report,,Unsatisfactory,289,
validation-124,Gas Optimizations,no gas pot in this contest,Unsatisfactory,204,
validation-548,QA Report,"
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/inh3l-Q.md#1-balanceroraclesols-constructor-should-not-have-the-initializer-modifier --> partial dup of validation-189
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/inh3l-Q.md#2-chainlinkoraclesols-_authorizeupgrade-doesnt-perform-a-status-check-before-upgrading --> dup of validation-228
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/inh3l-Q.md#3-no-check-for-min-max-values-when-handling-chainlink-prices --> dup of validation-727
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/inh3l-Q.md#4-cooldown-period-design-overwirtes-previous-periods-and-can-lead-to-longer-times-for-users --> dup of validation-432
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/inh3l-Q.md#9-querying-curves-get_virtual_price-should-be-done-carefully-due-to-its-vulnerability-to-read-only-reentrancy --> dup of validation-192",Satisfactory,632,
validation-574,QA Report,,Unsatisfactory,210,
validation-585,QA Report,includes dup of validation-727 // overall not satisfactory,Satisfactory,216,
validation-599,QA Report,"
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/0xhacksmithh-Q.md#low-1-when-protocol-is-in-paused-mode-borrower-unable-to-repay-their-loans --> dup of validation-231
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/0xhacksmithh-Q.md#low-4-could-lead-to-dosed-only-addition-no-removal-in-quotatokenset --> dup of validation-186
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/0xhacksmithh-Q.md#low-7--in-pendel-case-no-deadline-checks-appear --> dup of findings-71
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/0xhacksmithh-Q.md#low-12-before-deposit-should-check-vault-existance-check --> dup of validation-520
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/0xhacksmithh-Q.md#low-14-pendlerouteraddliquiditysingletoken-called-with-a-msgvalue-but-its-parent-function-transferandjoin-is-non-payable-in-nature --> dup of validation-306
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/0xhacksmithh-Q.md#low-17-no-checks-for-staleness-in-auravaultsol --> dup of validation-459
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/0xhacksmithh-Q.md#low-22-no-fee-considered-in-case-of-oncreditflashloan --> dup of validation-396",Satisfactory,608,
validation-633,QA Report,,Unsatisfactory,223,
validation-66,QA Report,insufficient proof,Unsatisfactory,28,
validation-63,Gas Optimizations,no gas pot in this contest,Unsatisfactory,303,
validation-660,QA Report,dup of validation-155,Satisfactory,39,
validation-666,QA Report,insufficient proof,Unsatisfactory,19,
validation-667,QA Report,,Unsatisfactory,39,
validation-67,QA Report,not so bright,Satisfactory,196,
validation-696,QA Report,"
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/minglei-wang-3570-Q.md#l-03-without-try-catch-permit-can-be-dosed - dup of validation-323
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/minglei-wang-3570-Q.md#l-05-improper-slippage-control-on-pool-deposit --> dup of validation-279
    https://github.com/code-423n4/2024-07-loopfi-validation/blob/main/data/minglei-wang-3570-Q.md#l-07-the-reward-related-contracts-are-forked-from-radiant-protocol-and-comments-are-not-updated --> dup of validation-588",Satisfactory,1,
validation-768,QA Report,"includes dup of validation-769, validation-186",Satisfactory,81,
validation-773,QA Report,,Unsatisfactory,71,
validation-775,QA Report,,Satisfactory,29,
validation-776,QA Report,"not so bright, half of them are dupes including own submissions (submitted twice), no formatting at all. 

    [L-4] --> dup of validation-513
    [L-5] --> dup of validation-432
    [L-6] --> dup of validation-187
    [L-8] --> dup of validation-605
    [L-10] --> dup of validation-325
    [L-11] --> dup of validation-707 (the warden submitted the same issue twice)",Satisfactory,326,
validation-49,Gas Optimizations,no gas pot in this contest,Unsatisfactory,12750,
validation-79,QA Report,,Unsatisfactory,86,
validation-348,QA Report,,Unsatisfactory,17,
validation-275,QA Report,same of 4nalyzer,Unsatisfactory,116,
validation-107,QA Report,spammer,Unsatisfactory,158,
validation-102,QA Report,invalid,Unsatisfactory,377,
validation-726,QA Report,,Satisfactory,1387,
